"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000123838",2,1,2,3,4,2,1,0
"ENSG00000123843",0,1,0,0,0,0,1,0
"ENSG00000123870",37,34,36,25,45,55,30,40
"ENSG00000123892",27,24,67,33,42,59,14,16
"ENSG00000123901",0,1,2,0,0,0,3,1
"ENSG00000123908",371,392,314,212,379,754,307,607
"ENSG00000123933",4329,3592,3889,1692,4031,3601,2996,2963
"ENSG00000123965",54,53,68,39,106,110,49,52
"ENSG00000123975",246,287,266,170,365,356,182,177
"ENSG00000123977",0,7,3,5,1,0,0,4
"ENSG00000123983",3219,2073,4600,1812,3107,2775,2527,2003
"ENSG00000123989",2219,2541,3761,1965,3160,4847,2375,3419
"ENSG00000123992",1963,1708,2036,965,2073,2489,1620,1602
"ENSG00000123999",12,18,16,11,20,32,13,31
"ENSG00000124003",1,0,0,0,0,1,1,0
"ENSG00000124006",1399,1477,1464,1068,1490,2626,1368,1701
"ENSG00000124019",0,1,0,0,0,0,0,0
"ENSG00000124067",1836,1692,1897,980,1778,2438,1533,1693
"ENSG00000124074",228,226,324,142,289,368,230,236
"ENSG00000124091",7,3,9,0,8,12,5,3
"ENSG00000124092",0,0,0,0,1,0,0,0
"ENSG00000124097",20,18,54,19,46,75,28,20
"ENSG00000124098",3381,2790,2802,1633,2877,3502,2948,2844
"ENSG00000124102",0,1,0,0,1,0,0,0
"ENSG00000124103",4,3,4,0,2,4,2,0
"ENSG00000124104",1341,740,1362,346,932,697,975,619
"ENSG00000124107",27,25,14,6,6,6,10,9
"ENSG00000124116",18,13,27,6,3,5,3,13
"ENSG00000124120",809,791,960,685,891,1424,741,785
"ENSG00000124126",165,77,269,125,265,187,294,211
"ENSG00000124134",46,7,24,1,110,22,22,1
"ENSG00000124140",7,6,9,5,4,5,4,3
"ENSG00000124145",6146,3609,9582,3671,5690,7284,5811,4219
"ENSG00000124151",850,1382,1038,1632,988,2850,830,2922
"ENSG00000124155",5094,4209,5898,3237,6354,6938,3979,4245
"ENSG00000124159",2,2,6,1,3,4,4,0
"ENSG00000124160",770,688,702,429,838,963,630,555
"ENSG00000124164",1089,1076,1242,880,1350,1948,1077,1320
"ENSG00000124171",6,8,24,18,11,15,11,27
"ENSG00000124172",2576,2608,2848,1621,2722,3071,1912,1945
"ENSG00000124177",1631,1016,1775,796,1990,2256,1438,1411
"ENSG00000124181",1540,1378,1577,836,1912,2224,1403,1434
"ENSG00000124191",257,200,162,69,378,296,221,210
"ENSG00000124193",2800,2454,3545,1682,3771,4146,2542,2238
"ENSG00000124194",5,0,2,1,3,0,0,0
"ENSG00000124198",1378,1414,1554,1242,1681,2441,1578,1943
"ENSG00000124201",3182,2661,3734,2350,3670,4146,2726,2972
"ENSG00000124205",0,0,0,0,0,0,0,2
"ENSG00000124207",1342,1123,1581,916,1540,1573,1151,1080
"ENSG00000124209",1059,989,1432,888,1455,1713,1164,1201
"ENSG00000124212",11476,7057,20399,7265,6125,4542,14905,8887
"ENSG00000124214",2859,2415,3566,2055,3626,3602,2974,2778
"ENSG00000124215",5,7,7,4,1,6,8,3
"ENSG00000124216",83,56,72,18,110,77,74,61
"ENSG00000124217",191,178,201,108,168,208,176,126
"ENSG00000124222",1259,1069,1315,812,1341,1442,1019,973
"ENSG00000124224",171,144,199,90,205,199,164,162
"ENSG00000124225",209,79,155,43,393,271,84,33
"ENSG00000124226",1701,1232,2031,835,2043,1637,1747,1237
"ENSG00000124228",698,713,784,452,856,1070,552,683
"ENSG00000124243",224,158,398,173,275,354,272,211
"ENSG00000124249",61,22,270,49,216,96,90,35
"ENSG00000124251",11,8,4,3,11,10,4,5
"ENSG00000124253",0,1,0,0,0,1,0,0
"ENSG00000124257",16,6,18,9,7,16,16,11
"ENSG00000124275",617,511,550,297,672,962,549,548
"ENSG00000124279",106,89,121,58,126,128,106,98
"ENSG00000124299",1703,1326,1810,1002,2025,2522,1619,1421
"ENSG00000124302",0,0,0,0,0,1,0,0
"ENSG00000124313",314,277,383,249,349,464,288,310
"ENSG00000124333",952,792,1158,709,1102,1316,837,822
"ENSG00000124334",0,0,0,0,1,2,0,1
"ENSG00000124343",1207,911,1270,777,1446,1923,1012,1355
"ENSG00000124356",663,543,732,419,775,854,531,565
"ENSG00000124357",1626,1144,1593,704,1452,1389,1342,1007
"ENSG00000124370",196,130,212,105,204,145,181,132
"ENSG00000124374",17,27,16,30,20,32,11,45
"ENSG00000124380",358,323,393,240,449,534,295,364
"ENSG00000124383",504,437,612,339,711,664,477,410
"ENSG00000124391",0,1,0,0,1,0,0,0
"ENSG00000124399",16,7,18,6,15,16,11,8
"ENSG00000124406",34,16,37,24,17,10,32,23
"ENSG00000124422",4613,3210,4780,2221,5363,4937,4050,3195
"ENSG00000124440",42,199,72,255,33,211,92,560
"ENSG00000124444",143,112,144,74,153,176,107,70
"ENSG00000124449",0,1,0,0,1,1,0,0
"ENSG00000124459",317,181,341,137,348,357,278,208
"ENSG00000124466",17,10,47,8,34,14,28,10
"ENSG00000124467",8,3,141,51,25,16,30,19
"ENSG00000124479",4,0,5,0,0,0,1,0
"ENSG00000124486",4145,4242,5825,4503,5065,8503,4600,6562
"ENSG00000124493",2,1,1,0,0,0,0,0
"ENSG00000124496",646,324,791,212,693,565,547,290
"ENSG00000124507",4,2,10,3,0,1,2,0
"ENSG00000124508",211,134,350,156,292,281,233,193
"ENSG00000124523",202,159,229,147,241,248,185,236
"ENSG00000124532",294,250,348,197,355,443,251,281
"ENSG00000124535",787,696,796,479,768,1086,691,795
"ENSG00000124541",508,492,523,276,631,745,414,394
"ENSG00000124549",128,114,210,100,189,168,135,156
"ENSG00000124557",2,1,0,1,1,1,0,2
"ENSG00000124562",749,673,812,402,824,1099,554,555
"ENSG00000124564",0,0,0,0,0,0,0,1
"ENSG00000124570",1816,1505,1910,926,2261,2092,1444,1269
"ENSG00000124571",521,515,572,381,733,956,465,515
"ENSG00000124574",596,556,745,356,498,686,451,479
"ENSG00000124575",1,0,1,0,0,0,2,4
"ENSG00000124587",932,815,512,374,617,744,654,791
"ENSG00000124588",327,254,277,140,341,318,245,213
"ENSG00000124593",95,99,92,68,100,132,91,71
"ENSG00000124596",334,315,401,271,428,382,316,387
"ENSG00000124602",2,4,5,3,3,2,5,6
"ENSG00000124608",576,301,535,126,498,415,319,205
"ENSG00000124613",129,95,131,70,209,164,135,79
"ENSG00000124614",11,10,17,10,19,14,14,10
"ENSG00000124615",500,569,475,358,607,995,302,494
"ENSG00000124635",46,42,39,31,41,44,43,43
"ENSG00000124641",405,376,425,246,398,501,288,275
"ENSG00000124657",0,0,0,1,1,1,0,0
"ENSG00000124659",483,585,553,298,505,693,360,434
"ENSG00000124664",0,1,0,0,1,0,0,0
"ENSG00000124678",0,0,3,0,4,6,4,1
"ENSG00000124688",260,297,315,214,302,351,246,282
"ENSG00000124701",1,1,0,1,3,2,0,0
"ENSG00000124702",930,1086,920,876,939,1727,763,1220
"ENSG00000124713",5,3,8,5,9,9,4,6
"ENSG00000124721",0,0,1,0,0,0,2,2
"ENSG00000124731",2,2,0,0,0,5,0,0
"ENSG00000124733",658,548,861,362,899,949,527,551
"ENSG00000124743",4,0,2,4,3,3,2,2
"ENSG00000124749",145,84,90,99,108,73,110,100
"ENSG00000124762",14568,6413,10122,2749,13293,7781,8044,4257
"ENSG00000124766",2483,406,2057,185,2829,870,1851,301
"ENSG00000124767",1443,1348,1924,1233,1842,2387,1224,1420
"ENSG00000124772",12,8,17,9,8,46,9,18
"ENSG00000124782",623,481,683,418,721,907,579,600
"ENSG00000124783",2872,2239,3140,1942,3023,3762,2319,2136
"ENSG00000124784",301,291,353,218,369,414,298,308
"ENSG00000124785",5,1,26,12,5,5,11,9
"ENSG00000124786",690,575,684,557,732,959,676,669
"ENSG00000124787",63,52,68,39,95,111,71,45
"ENSG00000124788",1752,1221,1883,694,1421,1580,1700,1180
"ENSG00000124789",1161,1004,1169,710,1213,1500,965,978
"ENSG00000124795",2389,2258,2882,2152,2951,4425,2441,2946
"ENSG00000124802",54,48,47,37,51,80,31,39
"ENSG00000124813",102,121,131,100,206,316,77,106
"ENSG00000124818",0,1,1,0,0,0,0,0
"ENSG00000124827",0,0,0,0,1,0,0,0
"ENSG00000124831",1611,1663,1758,1610,1704,4147,2031,2941
"ENSG00000124835",0,1,2,0,3,0,1,1
"ENSG00000124839",1,4,3,3,7,14,1,9
"ENSG00000124875",10,9,5,6,90,111,2,7
"ENSG00000124882",0,0,2,2,35,22,0,0
"ENSG00000124920",21,19,18,10,23,30,18,29
"ENSG00000124942",97093,92681,117069,76202,98058,159908,90196,130619
"ENSG00000125037",1040,1147,1271,875,1546,1891,927,1244
"ENSG00000125046",1,0,1,0,0,2,0,0
"ENSG00000125089",7,2,14,1,9,9,3,0
"ENSG00000125107",3872,2989,4349,2375,4528,5509,3643,3779
"ENSG00000125122",30,33,45,20,28,54,44,21
"ENSG00000125124",1254,776,1394,724,1199,1117,997,945
"ENSG00000125144",0,94,21,4,4,7,1,17
"ENSG00000125148",1654,6003,1370,3868,1355,8824,1189,4961
"ENSG00000125149",306,248,345,201,391,423,262,273
"ENSG00000125166",911,723,832,499,1040,1189,558,614
"ENSG00000125170",393,350,568,305,411,580,464,578
"ENSG00000125245",0,0,0,0,0,0,1,0
"ENSG00000125246",17,19,42,37,41,63,28,48
"ENSG00000125247",439,284,218,109,426,343,315,244
"ENSG00000125249",964,762,686,392,1070,1139,590,570
"ENSG00000125255",0,1,0,0,0,0,0,0
"ENSG00000125257",1234,1265,913,931,1793,2932,719,1185
"ENSG00000125266",956,1184,1684,887,420,1506,1397,1485
"ENSG00000125285",0,1,0,0,0,0,0,0
"ENSG00000125304",3098,2553,3159,2233,3046,4343,2888,3028
"ENSG00000125319",28,25,25,15,17,26,36,34
"ENSG00000125337",2,1,1,1,0,0,1,0
"ENSG00000125347",579,332,746,361,604,350,519,486
"ENSG00000125351",261,287,302,212,419,415,228,252
"ENSG00000125352",151,157,156,95,160,203,121,119
"ENSG00000125354",203,167,245,116,308,418,254,233
"ENSG00000125355",8,9,11,6,8,2,3,6
"ENSG00000125356",617,647,735,492,759,1078,558,599
"ENSG00000125375",119,157,211,145,181,270,117,134
"ENSG00000125378",2976,3873,3647,1734,2160,3118,2102,2204
"ENSG00000125384",283,370,311,161,313,494,192,202
"ENSG00000125386",682,585,773,443,881,958,621,620
"ENSG00000125388",131,100,173,86,189,154,157,139
"ENSG00000125398",836,452,1049,234,559,205,931,321
"ENSG00000125409",16,11,12,2,4,1,10,2
"ENSG00000125414",0,1,0,0,0,0,1,0
"ENSG00000125430",229,337,299,299,331,804,220,444
"ENSG00000125434",83,91,85,58,79,78,80,77
"ENSG00000125445",451,370,480,262,450,600,309,290
"ENSG00000125447",560,576,804,383,702,869,466,583
"ENSG00000125449",152,147,188,102,215,266,151,186
"ENSG00000125450",425,439,437,305,462,620,422,439
"ENSG00000125454",49,48,64,46,37,65,43,58
"ENSG00000125457",131,143,183,141,125,169,176,207
"ENSG00000125458",296,285,345,187,296,464,246,303
"ENSG00000125459",315,274,376,168,326,493,236,240
"ENSG00000125462",0,1,0,0,0,0,1,0
"ENSG00000125482",259,210,338,187,353,399,275,259
"ENSG00000125484",1085,849,1091,600,1089,1236,961,966
"ENSG00000125485",157,178,192,128,225,307,187,189
"ENSG00000125492",1,1,0,0,0,1,0,0
"ENSG00000125503",1881,2824,2677,2050,2312,4244,1837,3265
"ENSG00000125505",1193,936,1695,928,1908,2204,1265,1277
"ENSG00000125508",2,3,0,3,1,1,3,3
"ENSG00000125510",68,58,80,41,105,69,73,57
"ENSG00000125520",1309,950,1329,526,1205,1076,876,680
"ENSG00000125531",6,5,14,4,9,3,9,8
"ENSG00000125534",2261,2089,2825,1351,2257,2670,1877,1847
"ENSG00000125538",0,0,0,0,6,1,1,0
"ENSG00000125551",27,29,51,25,41,68,47,39
"ENSG00000125611",190,165,208,79,193,215,145,132
"ENSG00000125618",2,2,50,19,125,126,6,1
"ENSG00000125629",493,396,380,339,367,632,370,549
"ENSG00000125630",269,218,319,161,299,396,301,278
"ENSG00000125631",1,1,1,0,3,1,0,4
"ENSG00000125633",1686,1302,1771,909,1993,1763,1610,1498
"ENSG00000125637",93,77,133,51,78,87,67,70
"ENSG00000125648",1498,1262,1965,1109,2106,2430,1238,1330
"ENSG00000125650",62,78,56,35,52,72,46,65
"ENSG00000125651",1496,1220,1860,865,1747,2045,1330,1289
"ENSG00000125652",298,315,278,125,218,337,227,239
"ENSG00000125656",455,461,528,305,543,678,397,445
"ENSG00000125657",19,3,24,4,20,5,24,11
"ENSG00000125675",526,252,491,205,665,534,634,338
"ENSG00000125676",1372,1861,1606,1881,1778,2530,1296,2116
"ENSG00000125686",1360,1216,1590,825,1592,2025,1247,1297
"ENSG00000125691",12812,12110,14127,7345,13870,15995,9683,9387
"ENSG00000125703",247,222,263,161,288,283,200,178
"ENSG00000125726",0,0,0,1,0,1,0,2
"ENSG00000125730",7730,7217,14013,8498,4625,5483,8870,9937
"ENSG00000125731",31,25,20,12,39,50,17,11
"ENSG00000125733",1498,1702,1597,906,1674,1936,1262,1699
"ENSG00000125734",1120,1042,1269,696,1745,1896,971,1028
"ENSG00000125735",7,8,15,5,4,3,3,4
"ENSG00000125740",17,20,17,18,16,19,19,26
"ENSG00000125741",493,462,621,323,579,810,504,509
"ENSG00000125743",1828,1667,2159,1139,2013,2426,1579,1574
"ENSG00000125744",240,248,256,229,294,375,256,366
"ENSG00000125746",483,502,569,375,521,944,371,599
"ENSG00000125753",830,1099,952,668,834,1784,741,802
"ENSG00000125755",1307,1234,1327,747,1418,1868,1010,1095
"ENSG00000125772",299,185,476,173,548,433,360,257
"ENSG00000125775",28,35,22,21,53,55,38,52
"ENSG00000125779",540,556,617,400,697,873,523,614
"ENSG00000125780",0,0,0,0,0,0,1,0
"ENSG00000125787",1,0,1,0,1,1,1,2
"ENSG00000125804",5,1,5,3,3,6,3,0
"ENSG00000125812",315,310,307,196,378,482,236,270
"ENSG00000125814",198,217,246,179,239,282,201,214
"ENSG00000125817",2062,1956,1976,1221,1978,2605,1645,1728
"ENSG00000125818",1749,1602,2192,1400,1908,2504,1235,1438
"ENSG00000125821",465,486,634,363,555,737,472,472
"ENSG00000125826",1484,1327,1692,907,1642,1884,1283,1248
"ENSG00000125827",1727,1418,2188,1737,2015,2159,1982,2409
"ENSG00000125834",498,357,569,286,702,706,462,430
"ENSG00000125835",527,636,440,337,395,888,386,470
"ENSG00000125841",1180,953,1579,758,1561,1586,1098,1001
"ENSG00000125843",260,177,278,133,256,325,239,184
"ENSG00000125844",14631,13438,17207,8391,17222,27119,10633,10821
"ENSG00000125845",142,105,79,46,150,46,114,113
"ENSG00000125846",244,220,296,156,336,352,213,227
"ENSG00000125848",259,34,305,30,431,150,297,37
"ENSG00000125851",1991,2997,1661,637,1390,2054,348,353
"ENSG00000125863",551,425,682,352,679,749,522,443
"ENSG00000125864",32,35,93,58,58,82,49,42
"ENSG00000125868",8617,14135,16917,18250,12601,30182,9557,17350
"ENSG00000125869",1,0,1,0,0,3,1,0
"ENSG00000125870",580,567,631,420,751,873,476,482
"ENSG00000125871",267,247,370,281,272,322,243,309
"ENSG00000125872",1,3,1,6,0,0,1,10
"ENSG00000125875",1957,1729,1899,927,2096,2650,1495,1503
"ENSG00000125877",493,477,398,291,336,504,363,483
"ENSG00000125885",106,110,147,96,153,173,129,141
"ENSG00000125895",0,1,2,2,2,2,2,0
"ENSG00000125898",96,116,76,42,47,84,76,66
"ENSG00000125901",239,262,295,134,272,356,206,255
"ENSG00000125910",0,0,1,0,0,0,1,0
"ENSG00000125912",1332,1264,1360,803,1210,1915,1017,1041
"ENSG00000125931",0,1,0,2,1,0,1,0
"ENSG00000125944",1919,1796,2117,1018,2376,2877,1531,1274
"ENSG00000125945",795,467,1081,464,854,681,929,693
"ENSG00000125952",1042,1091,960,660,1037,1069,767,920
"ENSG00000125962",133,99,202,77,192,156,118,120
"ENSG00000125965",404,140,546,79,293,266,262,94
"ENSG00000125966",36,34,74,66,83,120,30,50
"ENSG00000125967",202,150,187,66,211,227,173,133
"ENSG00000125968",32,79,51,21,52,74,33,77
"ENSG00000125970",2433,1557,2874,1049,2454,2687,2348,1596
"ENSG00000125971",1171,1325,1723,1045,1885,2084,1218,1428
"ENSG00000125977",1907,1868,2461,1428,2550,3064,1906,1889
"ENSG00000125991",4190,3556,4486,2347,4386,4756,3376,3051
"ENSG00000125995",389,383,432,240,410,600,338,355
"ENSG00000125997",0,0,1,0,1,0,0,0
"ENSG00000125998",0,0,1,0,0,0,0,0
"ENSG00000126001",916,601,984,400,884,1103,740,580
"ENSG00000126003",366,346,348,224,439,579,273,366
"ENSG00000126005",596,627,960,541,726,1118,689,699
"ENSG00000126010",9,3,8,2,5,4,3,1
"ENSG00000126012",1678,1533,1868,936,1996,2696,2039,2199
"ENSG00000126016",846,205,493,46,880,160,532,104
"ENSG00000126062",842,980,1087,729,994,1598,815,1135
"ENSG00000126067",1227,1070,1493,802,1540,1668,994,991
"ENSG00000126070",461,459,508,338,554,683,376,438
"ENSG00000126088",1127,906,1782,799,1465,1513,1133,1020
"ENSG00000126091",249,191,244,150,257,324,198,199
"ENSG00000126106",105,120,108,83,69,119,75,150
"ENSG00000126107",1256,978,1438,682,1544,1651,1021,1015
"ENSG00000126214",565,588,470,439,483,679,454,506
"ENSG00000126215",175,178,182,154,164,249,176,169
"ENSG00000126216",549,463,563,319,565,650,505,445
"ENSG00000126217",4,0,1,0,4,2,0,0
"ENSG00000126218",202,290,359,305,268,421,146,365
"ENSG00000126226",831,765,1010,588,1018,1321,780,821
"ENSG00000126231",3,2,2,2,5,0,2,5
"ENSG00000126233",0,0,1,0,1,0,0,0
"ENSG00000126243",287,292,303,198,323,487,288,317
"ENSG00000126246",0,2,0,0,1,0,2,3
"ENSG00000126247",6225,6303,7777,4764,7821,9654,5314,6579
"ENSG00000126249",15,17,29,26,29,31,19,17
"ENSG00000126254",930,1038,997,561,946,1389,713,871
"ENSG00000126261",1507,1512,1597,1333,1869,2335,1494,2013
"ENSG00000126264",8,12,16,12,12,14,14,18
"ENSG00000126267",1399,1357,1965,992,1907,2217,1256,1355
"ENSG00000126337",0,0,1,0,1,3,0,2
"ENSG00000126351",1648,1639,1541,1150,1703,1927,1213,1554
"ENSG00000126353",28,18,28,13,36,51,13,21
"ENSG00000126368",502,254,383,241,544,331,292,290
"ENSG00000126391",599,668,531,441,507,844,588,740
"ENSG00000126432",2403,2416,3061,1517,2519,3250,2065,1939
"ENSG00000126453",120,116,119,73,135,189,91,99
"ENSG00000126456",506,450,560,290,515,584,519,433
"ENSG00000126457",1284,1186,1461,644,1548,1705,992,1048
"ENSG00000126458",1478,2081,2191,1670,1730,2892,1594,2632
"ENSG00000126460",9,6,7,3,6,8,5,3
"ENSG00000126461",1246,1273,1414,901,1375,1838,1128,1255
"ENSG00000126464",682,627,749,375,765,941,579,607
"ENSG00000126467",8,2,9,4,10,7,7,11
"ENSG00000126500",9,3,8,2,3,5,2,5
"ENSG00000126522",264,371,271,159,170,285,191,303
"ENSG00000126524",1420,1811,2265,1527,1975,2620,1274,1939
"ENSG00000126542",0,0,2,0,1,1,0,0
"ENSG00000126545",1,0,0,0,0,0,0,0
"ENSG00000126561",673,965,846,706,770,1295,667,1077
"ENSG00000126562",26,3,13,3,34,21,37,26
"ENSG00000126581",868,910,1146,667,1056,1484,785,1025
"ENSG00000126583",1,1,3,1,0,5,0,2
"ENSG00000126602",357,249,266,113,349,401,286,268
"ENSG00000126603",672,565,1276,496,633,689,799,861
"ENSG00000126653",559,616,838,503,970,1018,680,692
"ENSG00000126698",1548,1252,1729,871,1923,2019,1275,1075
"ENSG00000126705",757,455,809,262,830,631,711,475
"ENSG00000126709",716,533,734,655,694,752,457,560
"ENSG00000126733",0,0,1,0,1,2,0,0
"ENSG00000126746",780,724,828,426,840,981,684,618
"ENSG00000126749",351,292,266,185,238,422,198,207
"ENSG00000126756",501,494,472,317,475,674,420,425
"ENSG00000126759",3,2,1,2,5,9,5,1
"ENSG00000126767",607,641,603,427,692,1223,508,691
"ENSG00000126768",224,227,225,121,224,262,186,196
"ENSG00000126773",1602,1166,1626,757,1653,1724,1265,1093
"ENSG00000126775",892,600,1124,749,1028,1005,878,976
"ENSG00000126777",5197,4785,7622,6776,8377,10043,6141,9578
"ENSG00000126778",353,282,712,286,645,745,516,434
"ENSG00000126785",975,479,1443,332,701,288,883,392
"ENSG00000126787",22,15,15,15,20,17,17,17
"ENSG00000126790",434,477,481,318,398,723,361,408
"ENSG00000126803",71,336,187,463,260,2297,67,344
"ENSG00000126804",740,700,814,596,809,1317,617,751
"ENSG00000126814",378,302,455,254,503,577,341,334
"ENSG00000126821",523,487,649,503,614,816,464,649
"ENSG00000126822",256,184,273,119,238,453,253,248
"ENSG00000126838",28,34,17,25,4,5,31,19
"ENSG00000126856",0,0,0,0,1,0,0,0
"ENSG00000126858",519,465,569,349,619,709,453,396
"ENSG00000126860",28,13,41,8,31,15,40,9
"ENSG00000126861",455,177,599,107,700,155,319,107
"ENSG00000126870",445,358,654,333,636,736,494,485
"ENSG00000126878",101,12,353,28,104,20,147,29
"ENSG00000126882",27,15,28,7,30,15,20,8
"ENSG00000126883",1053,815,1178,663,1099,1456,854,875
"ENSG00000126895",0,0,0,0,0,0,1,0
"ENSG00000126903",860,866,870,539,697,922,716,822
"ENSG00000126934",2429,2216,2882,1959,3169,4091,2367,3277
"ENSG00000126945",1593,1422,1826,1064,1900,2343,1391,1257
"ENSG00000126947",1493,1212,1249,684,1429,1103,1294,1054
"ENSG00000126950",1231,388,1251,289,1053,245,1479,459
"ENSG00000126953",70,66,82,41,102,138,64,65
"ENSG00000126970",205,141,234,108,290,237,180,139
"ENSG00000127022",13895,11488,16683,9603,17675,25386,12453,12210
"ENSG00000127054",1114,1102,1248,656,1246,1491,893,1006
"ENSG00000127074",0,0,0,0,2,0,0,0
"ENSG00000127080",59,51,55,25,82,83,48,53
"ENSG00000127081",66,51,105,49,101,124,68,47
"ENSG00000127083",89,391,173,299,61,230,242,794
"ENSG00000127084",0,0,2,0,0,0,0,0
"ENSG00000127124",17,20,20,13,21,45,9,19
"ENSG00000127125",494,471,602,372,566,684,485,458
"ENSG00000127129",0,0,0,0,0,0,1,0
"ENSG00000127152",0,0,1,0,0,0,0,0
"ENSG00000127184",2470,2123,2514,1514,2236,2891,1844,1782
"ENSG00000127191",162,116,196,84,156,192,153,121
"ENSG00000127220",245,238,276,143,257,287,250,250
"ENSG00000127241",6397,4345,9603,5142,9126,9189,11652,10228
"ENSG00000127249",1,4,4,2,4,3,5,7
"ENSG00000127252",0,2,2,1,0,1,1,1
"ENSG00000127311",25,34,52,20,40,58,35,19
"ENSG00000127314",2778,3545,3605,2935,3890,5176,2654,3223
"ENSG00000127324",5,44,2,32,0,10,3,92
"ENSG00000127325",1,0,1,0,1,0,0,0
"ENSG00000127328",32,42,31,26,41,66,31,64
"ENSG00000127329",24,12,22,9,6,14,32,16
"ENSG00000127334",636,515,692,480,758,813,642,801
"ENSG00000127337",141,94,122,61,148,171,133,121
"ENSG00000127362",1,2,3,2,2,5,0,3
"ENSG00000127364",5,10,10,1,7,9,3,1
"ENSG00000127366",5,5,13,5,12,7,10,2
"ENSG00000127377",3,3,15,11,3,30,11,7
"ENSG00000127399",7,3,12,2,5,7,10,10
"ENSG00000127412",0,0,0,0,1,0,0,0
"ENSG00000127415",658,523,517,258,443,602,434,404
"ENSG00000127418",544,443,739,424,818,735,596,728
"ENSG00000127419",455,398,460,227,477,436,310,369
"ENSG00000127423",7,2,12,6,9,8,7,5
"ENSG00000127445",654,665,757,445,657,901,537,645
"ENSG00000127452",549,408,501,315,432,635,408,467
"ENSG00000127463",1385,1020,1943,1100,1391,1730,1128,1101
"ENSG00000127472",4,6,22,15,2,4,36,23
"ENSG00000127481",8598,6382,9103,4206,10071,10015,7790,8735
"ENSG00000127483",4577,3803,4642,2652,4799,5381,3861,3989
"ENSG00000127507",19,19,42,37,17,35,37,36
"ENSG00000127511",1364,1119,1464,744,1649,1721,1167,1117
"ENSG00000127526",900,727,1103,646,1000,1543,732,847
"ENSG00000127527",605,421,739,331,714,689,527,518
"ENSG00000127528",88,70,210,60,94,97,73,71
"ENSG00000127533",0,2,1,0,0,0,1,0
"ENSG00000127540",245,196,227,164,236,321,147,158
"ENSG00000127554",177,198,162,87,146,227,151,161
"ENSG00000127561",24,51,17,12,31,114,36,62
"ENSG00000127564",9,9,4,2,2,7,8,11
"ENSG00000127578",1,3,5,1,8,16,0,4
"ENSG00000127580",181,151,217,101,184,248,157,169
"ENSG00000127585",6,10,8,11,15,26,8,9
"ENSG00000127586",123,71,114,41,79,76,87,72
"ENSG00000127588",0,0,0,0,0,0,0,1
"ENSG00000127589",603,218,522,100,448,331,266,121
"ENSG00000127603",9826,8341,12595,7970,11532,25726,8555,11709
"ENSG00000127616",1600,1351,1848,870,2308,2824,1325,1267
"ENSG00000127663",1446,1449,1284,764,1431,2007,1176,1351
"ENSG00000127666",241,280,294,196,241,347,201,291
"ENSG00000127720",88,53,85,57,120,108,77,74
"ENSG00000127743",0,0,1,0,2,1,0,2
"ENSG00000127774",13,4,8,7,14,13,11,12
"ENSG00000127780",0,0,0,0,0,1,0,0
"ENSG00000127804",711,455,733,422,803,854,740,568
"ENSG00000127824",382,106,349,61,445,212,293,98
"ENSG00000127831",0,1,1,0,0,0,0,1
"ENSG00000127837",1343,1537,1420,882,1368,2046,1090,1411
"ENSG00000127838",489,481,455,237,381,434,375,357
"ENSG00000127863",1920,733,2242,634,3318,3493,3197,1469
"ENSG00000127870",665,681,829,516,954,1190,650,688
"ENSG00000127884",1235,948,1257,632,1370,1464,972,913
"ENSG00000127903",3,2,9,7,12,2,1,2
"ENSG00000127914",1241,1185,1826,967,1780,2133,1343,1591
"ENSG00000127920",627,820,809,456,1235,2061,611,757
"ENSG00000127922",710,677,847,511,767,1092,607,648
"ENSG00000127928",0,0,0,0,3,2,0,0
"ENSG00000127946",1206,1194,1303,1039,1267,2166,1256,2110
"ENSG00000127947",1515,1718,1653,1335,1752,2436,1179,1711
"ENSG00000127948",936,1037,790,494,938,1375,732,861
"ENSG00000127951",72,25,316,130,123,114,654,315
"ENSG00000127952",404,270,478,238,505,579,345,296
"ENSG00000127954",13,247,25,889,2,199,20,462
"ENSG00000127955",425,521,419,351,730,1068,296,542
"ENSG00000127957",82,80,110,42,100,141,84,94
"ENSG00000127980",464,333,460,261,424,431,377,372
"ENSG00000127989",150,128,193,144,169,258,129,148
"ENSG00000127990",1589,1358,2579,1594,1711,2161,1958,2002
"ENSG00000127993",248,239,230,166,255,280,189,188
"ENSG00000127995",328,282,356,200,362,439,360,305
"ENSG00000128000",312,211,377,119,286,360,266,192
"ENSG00000128011",10,8,13,4,14,11,6,5
"ENSG00000128016",1724,1805,1507,1134,1627,2147,1225,1841
"ENSG00000128039",126,156,116,107,143,209,118,144
"ENSG00000128045",0,89,42,231,19,372,6,213
"ENSG00000128050",1185,886,1209,531,1518,1859,947,703
"ENSG00000128052",1,3,1,1,4,18,0,2
"ENSG00000128059",201,161,181,94,199,285,145,106
"ENSG00000128159",1209,1262,1216,760,1072,1585,897,1218
"ENSG00000128165",128,14,165,18,53,16,88,10
"ENSG00000128185",732,630,686,377,764,849,610,595
"ENSG00000128191",571,482,614,280,679,799,501,460
"ENSG00000128203",21,25,26,21,60,48,20,17
"ENSG00000128218",0,0,0,0,3,1,0,0
"ENSG00000128228",128,149,121,43,110,407,92,114
"ENSG00000128242",1,8,3,1,2,12,6,6
